stop_id,stop_code,stop_name,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding,ineo_id,ineo_mnemoc,ineo_mnemol,ineo_noc,ineo_nol,ineo_nomc
3718,HDVAA,Hôtel de Ville,44.83733000,-0.57718800,33063,,0,THDVA,1,1846,HDV,HDV_A_A,3718,1846,HOTEL DE VILLE
3719,HDVAR,Hôtel de Ville,44.83730500,-0.57713600,33063,,0,THDVA,1,1845,HDV,HDV_A_R,3719,1845,HOTEL DE VILLE
3757,HDVBA,Hôtel de Ville,44.83767200,-0.57636100,33063,,0,THDVB,1,1847,HDV,HDV_B_A,3757,1847,HOTEL DE VILLE
3758,HDVBR,Hôtel de Ville,44.83764400,-0.57639800,33063,,0,THDVB,1,1844,HDV,HDV_B_R,3758,1844,HOTEL DE VILLE
7331,UTRILA,Hôtel de Ville Mérignac,44.84421900,-0.65831300,33281,,0,TUTRILL,1,2616,HVM,MERHDV_A,7331,2616,HDV MERIGNAC
7332,UTRILR,Hôtel de Ville Mérignac,44.84414100,-0.65821900,33281,,0,TUTRILL,1,2615,HVM,MERHDV_R,7332,2615,HDV MERIGNAC
15999,IBIS,Hôtel Ibis,44.83610358,-0.58307595,,,0,,0,4297,IBIS,IBIS,15999,4297,Hôtel Ibis
7543,ILE63A,Ile de France,44.84584900,-0.49684400,33013,,0,BILEFRA,1,4360,ILEF,ILE63A,7543,4360,Ile de France
7544,ILE63R,Ile de France,44.84587800,-0.49679500,33013,,0,BILEFRA,1,4366,ILED,ILE63R,7544,4366,Ile de France
1408,IMH31A,Imhotep,44.89204700,-0.55611900,33063,,0,BIMHOTE,1,1853,IMHO,IMH31A,1408,1853,Imhotep
3257,IMH31R,Imhotep,44.89206800,-0.55658900,33063,,0,BIMHOTE,1,1854,IMHO,IMH31R,3257,1854,Imhotep
9487,SCOIMP,Imp. Haye,44.82149600,-0.66681200,33281,,0,BSCOIMP,0,,,,,,
1034,INR21A,INRAE,44.78731400,-0.58072400,33550,,0,BINRA,1,1855,INRA,INR21A,1034,1855,INRAE
3883,INR34A,INRAE,44.78551300,-0.57647100,33550,,0,BINRA,1,1857,INRA,INR34A,3883,1857,INRAE
5680,INR34R,INRAE,44.78530000,-0.57721700,33550,,0,BINRA,0,1856,INRA,INR34R,5680,1856,INRAE
96,INR21R,INRAE,44.78762400,-0.58088300,33550,,0,BINRA,1,1858,INRA,INR21R,96,1858,INRAE
6751,INR08R,INRIA,44.80875300,-0.60024600,33522,,0,BINRIA,0,1859,INRI,INR08R,6751,1859,INRIA
6752,INR08A,INRIA,44.80911200,-0.60029400,33522,,0,BINRIA,1,1860,INRI,INR08A,6752,1860,INRIA
